HsInv1070 chr1 21203817 21204017 21204502 21204702 non-SD-flanked
HsInv0231 chr1 25268025 25329028 25362423 25425328 SD
HsInv0002 chr1 26637879 26642254 26646155 26650668 SD
HsInv0174 chr1 43593541 43593741 43594191 43594391 non-SD-flanked
HsInv1887 chr1 60772541 60776837 60778681 60782969 MEI-flanked
chr1-81642914-INV-66617 chr1 81650408 81650608 81707347 81707547 non-SD-flanked
HsInv1785 chr1 91666132 91666332 91666985 91667185 non-SD-flanked
HsInv0233 chr1 108221621 108310652 108383727 108472664 SD
chr1-120299059-INV-301908 chr1 120192773 120323081 120192773 120323081 0
HsInv0228 chr1 149817486 149843518 149850294 149876379 SD-flanked
HsInv0004 chr1 197787559 197787759 197788756 197788956 non-SD-flanked
HsInv0229 chr1 227485990 227499209 227502114 227513090 SD
chr1-247661378-INV-467396 chr1 247661277 247661477 248128672 248128872 non-SD-flanked
chr1-248128774-INV-300084 chr1 248128673 248128873 248428756 248428956 non-SD-flanked
HsInv0012 chr1 248459787 248519266 248528796 248588406 SD
HsInv1117 chr10 4925933 4983056 4984362 5031863 SD
HsInv1790 chr10 15742703 15742903 15760327 15760527 non-SD-flanked
HsInv0325 chr10 37102417 37105149 37111122 37113835 SD
HsInv0733 chr10 46133419 46144703 46204852 46216000 SD
HsInv1016 chr10 46245414 46274640 46286049 46316832 SD
chr10-46769329-INV-87814 chr10 46769228 46769428 46857041 46857241 non-SD-flanked
HsInv0163 chr10 55007331 55007531 55013334 55013534 non-SD-flanked
chr10-65465442-INV-4580 chr10 65465345 65465545 65469967 65470167 non-SD-flanked
HsInv1906 chr10 71065873 71066859 71067725 71068705 SD-flanked
HsInv0191 chr10 73659956 73659957 73660151 73660152 non-SD-flanked
HsInv0514 chr10 79500988 79551117 80209921 80258685 SD
HsInv0736 chr10 87237438 87308004 87429954 87500606 SD
HsInv0017 chr10 91440460 91443495 91446122 91449157 LINE
chr10-103197205-INV-9055 chr10 103205457 103205657 103205894 103206094 non-SD-flanked
HsInv1888 chr10 131619411 131619803 131620687 131621079 IR
HsInv0124 chr11 307676 311836 317945 321340 SD
HsInv1899 chr11 736788 737109 743105 743709 non-SD-flanked
HsInv0121 chr11 1660886 1667458 1683269 1690891 IR
HsInv0328 chr11 4208774 4258583 4263624 4319628 SD
HsInv1221 chr11 18245314 18249600 18265261 18269918 SD
HsInv1222 chr11 24263079 24263279 24266146 24266346 non-SD-flanked
